I (18257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-71 Y:-120 Z:213
I (18557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-102 Y:-121 Z:201
I (18857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-106 Z:223
I (19157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-115 Y:-106 Z:222
I (19457) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-94 Y:-98 Z:215
I (19757) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-87 Y:-112 Z:203
I (20057) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-114 Y:-122 Z:211
I (20357) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-115 Z:202
I (20657) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-80 Y:-122 Z:205
I (20957) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-97 Y:-146 Z:217
I (21257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-116 Z:209
I (21557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-118 Z:205
I (21857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-125 Z:210
I (22157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-123 Z:214
I (22457) FLEX+GYRO_DFPLAYER: Thumb:1181 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-116 Y:-122 Z:223
I (22457) FLEX+GYRO_DFPLAYER: Playing file 0002.mp3
I (22967) FLEX+GYRO_DFPLAYER: Thumb:1579 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-103 Y:-109 Z:218
I (23267) FLEX+GYRO_DFPLAYER: Thumb:1456 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-114 Y:-135 Z:206
I (23567) FLEX+GYRO_DFPLAYER: Thumb:1278 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-108 Z:209
I (23867) FLEX+GYRO_DFPLAYER: Thumb:1270 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-106 Y:-122 Z:196
I (24167) FLEX+GYRO_DFPLAYER: Thumb:1294 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-108 Y:-138 Z:225
I (24467) FLEX+GYRO_DFPLAYER: Thumb:1201 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-100 Y:-108 Z:207
I (24767) FLEX+GYRO_DFPLAYER: Thumb:1225 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-85 Y:-122 Z:204
I (25067) FLEX+GYRO_DFPLAYER: Thumb:1202 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-126 Z:210
I (25367) FLEX+GYRO_DFPLAYER: Thumb:1194 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-101 Y:-121 Z:209
I (25667) FLEX+GYRO_DFPLAYER: Thumb:1151 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-83 Y:-109 Z:197
I (25967) FLEX+GYRO_DFPLAYER: Thumb:1098 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-83 Y:-125 Z:209
I (26267) FLEX+GYRO_DFPLAYER: Thumb:1207 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-112 Z:205
I (26567) FLEX+GYRO_DFPLAYER: Thumb:1215 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-67 Y:-125 Z:210
I (26867) FLEX+GYRO_DFPLAYER: Thumb:1160 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-102 Y:-118 Z:218
I (27167) FLEX+GYRO_DFPLAYER: Thumb:1202 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-89 Y:-127 Z:224
I (27467) FLEX+GYRO_DFPLAYER: Thumb:1213 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-96 Y:-99 Z:189
I (27767) FLEX+GYRO_DFPLAYER: Thumb:1169 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-108 Y:-144 Z:210
I (28067) FLEX+GYRO_DFPLAYER: Thumb:1141 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-85 Y:-127 Z:207
I (28367) FLEX+GYRO_DFPLAYER: Thumb:1128 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-93 Y:-117 Z:192
